transaction_item_id,transaction_id,product_id,quantity,price
1,146,383,9,492.73
2,801,252,9,476.54
3,985,934,9,228.61
4,2,833,8,480.75
5,636,297,3,5.27
6,956,944,8,140.28
7,257,860,7,499.62
8,863,648,4,294.65
9,523,289,1,84.9
10,547,577,2,153.82
11,405,716,2,416.1
12,743,570,5,439.75
13,216,626,9,478.92
14,326,906,6,319.41
15,771,725,8,140.14
16,679,330,6,109.26
17,983,614,6,12.86
18,709,137,1,306.35
19,5,924,1,337.99
20,424,570,8,382.42
21,552,84,2,271.63
22,914,853,8,337.76
23,362,996,7,414.6
24,367,397,3,420.38
25,832,714,1,66.76
26,380,959,4,225.07
27,227,761,1,380.42
28,697,944,6,99.8
29,836,629,5,405.17
30,227,240,8,483.81
31,38,288,8,452.73
32,724,621,4,8.53
33,841,654,7,59.92
34,285,583,9,249.54
35,566,199,10,337.73
36,618,579,3,37.35
37,132,764,2,68.08
38,956,584,4,441.1
39,747,802,5,99.97
40,695,24,9,309.16
41,698,574,8,5.97
42,438,657,1,427.66
43,331,443,7,140.65
44,697,531,8,250.31
45,530,778,1,442.48
46,230,49,5,459.6
47,546,460,6,7.55
48,200,343,2,440.65
49,828,26,4,489.16
50,434,981,2,458.91
51,202,169,6,158.85
52,642,641,2,18.8
53,443,828,1,298.3
54,642,958,6,421.05
55,254,111,8,122.99
56,349,853,1,411.71
57,533,814,4,472.06
58,795,615,10,222.07
59,98,641,8,291.57
60,88,998,1,458.77
61,387,321,2,392.41
62,64,942,8,32.12
63,626,642,7,37.57
64,694,58,9,30.84
65,871,391,7,52.44
66,771,421,4,432.97
67,807,676,10,10.25
68,394,476,7,440.57
69,635,104,6,327.21
70,692,802,1,229.77
71,337,602,4,58.46
72,13,610,2,298.48
73,861,199,10,67.36
74,522,263,6,213.4
75,743,636,8,97.03
76,141,817,1,34.94
77,320,599,7,259.0
78,668,773,6,159.04
79,907,555,3,77.97
80,317,618,6,149.08
81,994,9,9,295.29
82,695,149,1,122.51
83,839,856,9,430.06
84,433,353,4,488.37
85,656,931,4,393.71
86,350,194,8,348.92
87,479,615,6,426.74
88,580,987,6,309.97
89,429,337,3,56.9
90,898,809,1,250.49
91,943,4,4,348.14
92,478,639,4,123.31
93,753,787,6,404.6
94,385,211,7,96.2
95,7,372,1,41.5
96,31,569,2,75.49
97,451,200,10,456.79
98,369,45,1,103.57
99,291,179,4,443.26
100,737,179,6,424.53
101,252,183,4,15.64
102,864,269,2,15.39
103,694,141,7,329.16
104,907,114,6,468.38
105,313,468,4,187.97
106,382,677,3,470.88
107,819,639,7,439.8
108,67,122,3,441.95
109,134,814,4,99.88
110,388,712,6,162.39
111,440,652,4,460.9
112,782,631,10,98.61
113,549,302,3,167.2
114,55,645,5,437.06
115,872,521,10,443.49
116,215,745,2,393.41
117,810,680,10,37.11
118,521,398,9,190.26
119,532,476,3,164.3
120,383,539,8,359.25
121,507,486,5,292.69
122,654,944,10,326.62
123,213,225,4,228.78
124,241,406,4,156.47
125,911,387,10,82.82
126,863,384,5,277.52
127,138,770,2,151.05
128,532,361,4,294.06
129,477,525,10,171.51
130,462,479,7,207.43
131,824,510,6,140.14
132,26,184,8,120.73
133,661,78,6,451.23
134,302,863,9,258.83
135,660,81,5,463.67
136,101,122,2,183.32
137,560,206,6,102.34
138,338,257,5,373.88
139,787,700,5,99.37
140,619,142,9,456.63
141,9,789,5,144.51
142,355,802,7,473.18
143,842,594,1,238.64
144,525,780,3,433.41
145,234,233,4,239.85
146,529,602,9,380.02
147,740,834,8,173.63
148,88,321,4,217.25
149,965,715,7,108.74
150,461,874,9,19.9
151,143,592,3,156.26
152,756,10,8,406.15
153,855,364,6,116.62
154,436,703,7,382.61
155,708,551,5,166.41
156,24,582,1,461.46
157,158,976,6,286.25
158,819,618,10,289.07
159,401,391,4,474.6
160,66,548,7,98.23
161,112,337,10,481.16
162,655,917,5,51.15
163,107,692,9,92.93
164,847,706,10,246.86
165,192,204,2,456.12
166,396,291,4,120.35
167,676,537,2,230.06
168,378,531,1,90.05
169,881,932,7,198.6
170,114,133,9,212.11
171,761,71,7,477.77
172,887,212,3,435.87
173,318,443,8,83.6
174,589,962,5,295.81
175,515,734,8,141.34
176,8,147,8,36.67
177,409,620,4,265.3
178,933,583,8,232.8
179,590,41,2,147.52
180,903,941,8,176.66
181,863,729,5,198.59
182,844,830,3,210.45
183,184,922,10,367.96
184,469,394,3,350.77
185,98,403,1,123.65
186,892,162,5,441.87
187,551,299,2,350.53
188,740,924,4,454.82
189,422,781,9,65.01
190,378,79,2,254.68
191,799,334,7,228.21
192,259,213,9,27.09
193,28,75,8,193.67
194,764,409,4,201.35
195,11,257,2,356.0
196,140,335,8,244.96
197,70,85,9,330.23
198,731,973,8,74.43
199,841,286,3,89.44
200,19,622,2,92.73
201,128,548,7,88.38
202,688,782,1,340.3
203,158,452,6,93.08
204,732,36,9,112.0
205,714,49,9,322.3
206,734,676,2,198.36
207,316,455,1,301.11
208,50,791,7,384.72
209,952,256,6,454.83
210,205,94,1,213.73
211,15,346,4,341.58
212,65,226,2,399.48
213,851,681,3,363.39
214,46,426,9,58.3
215,335,331,9,315.26
216,640,213,9,200.56
217,439,124,4,110.82
218,366,332,3,12.42
219,670,324,1,197.65
220,470,226,2,330.69
221,286,666,10,187.65
222,69,907,4,208.49
223,786,614,8,491.64
224,105,730,9,396.67
225,945,871,10,89.87
226,983,98,10,165.56
227,647,714,7,340.56
228,996,790,3,169.36
229,651,780,6,489.12
230,683,494,2,170.88
231,624,934,10,227.21
232,524,656,4,254.19
233,722,14,4,15.5
234,778,919,2,157.88
235,756,439,4,311.78
236,62,141,6,251.87
237,207,156,7,106.17
238,39,244,10,494.33
239,455,757,6,71.46
240,326,660,1,262.83
241,425,664,5,376.52
242,235,868,6,174.65
243,211,553,1,453.78
244,681,255,4,305.99
245,391,534,6,95.86
246,645,7,2,435.58
